a,b,auc,confusion_rate,centroid_dist,same_base,adjacent_version,near_relative,structurally_related,same_family,same_org,same_arch,same_tokenizer,relation_inferred
tiiuae/Falcon3-10B-Instruct,tiiuae/Falcon3-7B-Instruct,0.9387975778546713,0.14705882352941177,48.75973630137865,False,True,True,True,True,True,True,True,False
meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-3B-Instruct,0.9688581314878892,0.0661764705882353,51.72287923863795,False,True,True,True,True,True,True,True,False
HuggingFaceH4/zephyr-7b-beta,nvidia/Llama3-ChatQA-1.5-8B,0.9705882352941176,0.058823529411764705,50.1987411120969,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-1.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,0.9842128027681661,0.058823529411764705,52.001942197579886,False,True,True,True,True,True,True,True,False
microsoft/Phi-3-medium-128k-instruct,microsoft/Phi-3-medium-4k-instruct,0.9852941176470589,0.044117647058823525,47.379296426628045,False,True,True,True,True,True,True,True,False
microsoft/Phi-3-mini-128k-instruct,microsoft/Phi-3-mini-4k-instruct,0.9874567474048442,0.03676470588235294,41.59250350079295,False,True,True,True,True,True,True,True,False
HuggingFaceH4/zephyr-7b-beta,openchat/openchat-3.6-8b-20240522,0.9894031141868512,0.04411764705882353,52.73839183207297,False,False,False,False,False,False,False,False,False
openchat/openchat-3.6-8b-20240522,openchat/openchat_3.5,0.9913494809688581,0.03676470588235294,46.50449724809672,False,False,False,False,False,True,False,False,False
Deci/DeciLM-7B-instruct,openchat/openchat-3.6-8b-20240522,0.9924307958477508,0.029411764705882353,54.656943394375084,False,False,False,False,False,False,False,False,False
nvidia/Llama3-ChatQA-1.5-8B,openchat/openchat-3.6-8b-20240522,0.9930795847750865,0.029411764705882353,63.746582011808314,True,False,True,True,True,False,True,True,False
mistralai/Mistral-7B-Instruct-v0.2,mistralai/Mistral-7B-Instruct-v0.3,0.9950259515570934,0.022058823529411763,51.584360139517855,False,True,True,True,True,True,True,True,False
ibm-granite/granite-3.0-8b-instruct,openchat/openchat-3.6-8b-20240522,0.995674740484429,0.022058823529411766,66.0649516677489,False,False,False,False,False,False,False,False,False
HuggingFaceH4/zephyr-7b-beta,Qwen/Qwen2.5-0.5B-Instruct,0.9961072664359861,0.007352941176470588,57.52381194288188,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-1.5B-Instruct,Qwen/Qwen2-7B-Instruct,0.9963235294117647,0.03676470588235294,52.90910801386328,False,True,True,True,True,True,True,True,False
Qwen/Qwen2-7B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,0.9963235294117647,0.04411764705882353,52.68868971161702,False,True,True,True,True,True,True,True,False
HuggingFaceH4/zephyr-7b-beta,microsoft/Phi-3-mini-128k-instruct,0.9965397923875432,0.014705882352941176,50.96575247688003,False,False,False,False,False,False,False,False,False
Deci/DeciLM-7B-instruct,nvidia/Llama3-ChatQA-1.5-8B,0.9969723183391004,0.03676470588235294,55.436408808815585,False,False,False,False,False,False,False,False,False
ibm-granite/granite-3.0-8b-instruct,ibm-granite/granite-3.1-8b-instruct,0.9974048442906575,0.029411764705882353,59.12753924174726,False,True,True,True,True,True,True,True,False
google/gemma-1.1-2b-it,google/gemma-1.1-7b-it,0.9976211072664359,0.022058823529411766,51.28567770757149,False,True,True,True,True,True,True,True,False
meta-llama/Llama-3.2-1B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,0.9978373702422145,0.029411764705882353,52.94884760524924,False,True,True,True,True,True,True,True,False
meta-llama/Llama-3.2-3B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,0.9978373702422145,0.04411764705882353,64.79710608152723,False,True,True,True,True,True,True,True,False
microsoft/Phi-3-medium-128k-instruct,microsoft/Phi-3-mini-4k-instruct,0.9978373702422145,0.03676470588235294,55.54411062035975,False,True,True,True,True,True,True,True,False
Deci/DeciLM-7B-instruct,ibm-granite/granite-3.0-8b-instruct,0.9984861591695502,0.029411764705882353,63.65038611461648,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,tiiuae/Falcon3-10B-Instruct,0.9984861591695502,0.03676470588235294,53.13501560638322,False,False,False,False,False,False,False,False,False
meta-llama/Llama-3.2-3B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,0.9984861591695502,0.022058823529411763,68.4267024119155,False,True,True,True,True,True,True,True,False
microsoft/Phi-3-medium-128k-instruct,microsoft/Phi-3-mini-128k-instruct,0.9984861591695502,0.022058823529411763,51.15025672733514,False,True,True,True,True,True,True,True,False
Deci/DeciLM-7B-instruct,Qwen/Qwen2-1.5B-Instruct,0.9987024221453287,0.022058823529411766,53.86066829026237,False,False,False,False,False,False,False,False,False
Deci/DeciLM-7B-instruct,openchat/openchat_3.5,0.9987024221453287,0.022058823529411763,54.41670635386195,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-1.5B-Instruct,tiiuae/Falcon3-10B-Instruct,0.9987024221453287,0.014705882352941176,56.50176190458198,False,False,False,False,False,False,False,False,False
google/gemma-2b-it,google/gemma-7b-it,0.9987024221453287,0.03676470588235294,52.629279268261534,False,True,True,True,True,True,True,True,False
Qwen/Qwen2-7B-Instruct,upstage/SOLAR-10.7B-Instruct-v1.0,0.9989186851211073,0.007352941176470588,56.028829317346435,False,False,False,False,False,False,False,False,False
