L,Q0,n_configs,generations,regime,max_new_tokens,gen_per_s_lo,gen_per_s_hi,node_hours_lo,node_hours_hi,SU_lo,SU_hi,pct_of_balance_hi,fits_in_balance,wall_days_hi_single_job
20,80,125,200000,batched,100,2.255,2.478,22.6,24.8,22.6,24.8,0.4,True,1.0
20,80,125,200000,batched,200,1.246,1.506,37.1,44.8,37.1,44.8,0.6,True,1.9
20,80,125,200000,unbatched,100,0.362,0.472,117.9,153.6,117.9,153.6,2.2,True,6.4
20,80,125,200000,unbatched,200,0.232,0.34,163.6,239.6,163.6,239.6,3.4,True,10.0
25,100,125,312500,batched,100,2.255,2.478,35.2,38.7,35.2,38.7,0.6,True,1.6
25,100,125,312500,batched,200,1.246,1.506,57.8,69.9,57.8,69.9,1.0,True,2.9
25,100,125,312500,unbatched,100,0.362,0.472,184.1,240.0,184.1,240.0,3.4,True,10.0
25,100,125,312500,unbatched,200,0.232,0.34,255.5,374.4,255.5,374.4,5.4,True,15.6
30,120,125,450000,batched,100,2.255,2.478,50.7,55.7,50.7,55.7,0.8,True,2.3
30,120,125,450000,batched,200,1.246,1.506,83.3,100.6,83.3,100.6,1.4,True,4.2
30,120,125,450000,unbatched,100,0.362,0.472,265.1,345.6,265.1,345.6,4.9,True,14.4
30,120,125,450000,unbatched,200,0.232,0.34,367.9,539.0,367.9,539.0,7.7,True,22.5
